"cảnh","警","[guard]",3,20,507,"8B66","standard"
"cảnh tình","景情","situation, condition, circumstances",0,,
"cảnh vật","景物","scenery",0,,
"cảnh vệ","警衛","guard, security guard, watchman",0,,
"cấp","級","rank, level, class; (school) grade",3,10,414,"7D1A","standard"
"cấp","急","pressing, urgent",3,9,414,"6025","standard"
"cấp hạ","級下","lower class, low-ranking, low-grade",0,,
"cấp thời","急時","at once, immediately",0,,
"cần","勤","to need",2,13,147,"52E4","standard"
"cần yếu","勤要","indispensable, essential, important",0,,
"cầu","求","[to seek, to demand]",2,7,367,"6C42","standard"
"cầu chúc","求祝","to wish so. sth.",0,,
"cầu duyên","求縁","to pray for good chances in love",0,,
"cầu xin","求吀","to solicit, to ask for, to beg for",0,,
"cận","近","near, close",4,8,2065,"8FD1","standard"
"cận thị","近視","short-sighted, myopic",0,,
"cận đại","近代","modern (times)",0,,
"cập","及","to land, to lay alongside; [to reach, to arrive]",4,3,1764,"53CA","standard"
"cậu","舅","uncle (mother's brother); young man",3,13,425,"8205","standard"
"cắt","割","to cut; to cut off",3,12,916,"5272","standard"
"cổ","古","old, ancient, antique",2,5,226,"53E4","standard"
"cổ điển","古典","classic, classical",0,,3513
"cổ đô","古都","ancient capital",0,,
"cộng","共","to add (up); addition",2,6,289,"5171","standard"
"cộng hoà","共和","republic, republican",4,,1289
"cộng sản","共産","communist",4,,1008
"cộng đồng","共同","community",0,,
"cờ","旗","flag, banner",2,14,1505,"65D7","standard"
"cờ","碁","chess",4,13,1505,"7881","standard"
"của","𧵑","of; to belong to; properties, belongings",1,12,1,"27D51","standard"
"của chung","𧵑終","public property",0,,
"của công","𧵑公","public property",0,,
"cứ","拠","to continue, to keep on; [ground, base]",2,8,246,"62E0","standard"
"cứ điểm","拠點","entrenched fortification",0,,
"cứu","究","[to examine, to investigate]",3,7,799,"7A76","standard"
"cử","舉","to raise; to elect",4,16,1005,"8209","standard"
"cử hành","舉行","to celebrate, to host (an event)",0,,4737
"cử nhân","舉人","bachelor, imperial examination graduate ",0,,4933
"cửa","𨴦","door, gate, entrance",2,24,352,"28DF6","standard"
"cửa hàng","𨴦行","shop, store",4,,1847
"cửa sổ","𨴦数","window",4,,1959
"da","䏧","skin; leather; pelt",3,10,557,"43E7","standard"
"da thuộc","䏧屬","leather",0,,
"danh","名","name",2,6,380,"540D","standard"
"danh từ","名詞","noun",0,,4685
"do","由","reason; cause",2,5,117,"7531","standard"
"do thám","由探","to spy",0,,
"doanh","营","[to manage; barracks, casern, encampment]",4,17,2299,"71DF","standard"
"doanh nghiệp","营業","trade, business",4,,1760
"doanh số","营数","turnover",0,,
"duy nhất","唯一","unique, only",4,,1048
"duyên","縁","charm, grace, loveliness; [cause, reason]",4,15,1201,"7E01","standard"
"duyên do","縁由","reason, cause",0,,
"duyên số","縁数","predestined fate",0,,
"dài","𨱽","long",2,14,333,"28C7D","standard"
"dân","民","people; citizen",2,5,174,"6C11","standard"
"dân chủ","民主","democratic",4,,1284
"dân cử","民舉","elective, people-elected",0,,
"dân làng","民廊","villager, villagers",4,,2508
"dân quyền","民权","civic rights",0,,
"dân số","民数","population",4,,2361
"dân sự","民事","civilian",0,,3754
"dân vệ","民衛","The people's self-defence corps",0,,
"dân đen","民黰","mob, rabbel",0,,
"dây","絏","rope; cord; wire; string",4,12,1438,"7D4F","standard"
"dây dẫn","絏引","conducting wire, electric cord, power cord",0,,
"dây điện","絏電","electric cable, power line, current line",0,,
"dãy","𧿆","row, chain, series",4,10,2423,"27FC6","standard"
"dãy núi","𧿆𡶀","chain of mountains, cordillera",0,,
"dù","𠶢","however, though",2,11,273,"20DA2","standard"
"dù rằng","𠶢浪","though; although",0,,
"dù sao","𠶢牢","anyhow; anyway",0,,3846
"dùng","用","to use, to employ",2,5,234,"7528","standard"
"dương","洋","ocean, sea",3,9,473,"6D0B","standard"
"dưới","𤲂","below; at the bottom",2,12,260,"24C82","standard"
"dược","藥","medicine, pharmacy",4,21,3189,"85E5","standard"
"dược học","藥学","pharmacy, pharmaceutics",0,,
"dược liệu","藥料","drug; medicine",0,,
"dược phòng","藥房","drugstore, chemist's shop",0,,
"dược phẩm","藥品","pharmaceutical product",0,,
"dược sĩ","藥士","pharmacist, chemist",0,,
"dược điển","藥典","pharmacopoeia",0,,
"dạ","唯","yes, yes sir, affirmative!",4,11,1486,"552F","standard"
"dạ vâng","唯𠳐","yes; all right",0,,
